DATE,POSITIVES / POPULATION,(POSITIVES TODAY) / (POSITIVES 10 DD BACK),VALUE,REGION
2020-04-29,0.0003401331,0.7854251012,2.425,Basilicata
2020-04-29,0.0003831811,0.8921800948,9.4125,Calabria
2020-04-29,0.0004764446,0.9205823958,34.775,Campania
2020-04-29,0.0026663124,0.8752951594,148.275,Emilia-Romagna
2020-04-29,0.001007495,0.9177262528,15.3375,Friuli Venezia Giulia
2020-04-29,0.0007688885,1.0495255728,56.6875,Lazio
2020-04-29,0.0022845359,1.0246418338,44.7,Liguria
2020-04-29,0.0036054196,1.0471055454,451.525,Lombardia
2020-04-29,0.002176125,1.0518541798,41.8375,Marche
2020-04-29,0.0006216802,0.8976744186,2.4125,Molise
2020-04-29,0.00169,0.5395913155,10.5625,P.A. Bolzano
2020-04-29,0.0025992254,0.7422628108,18.2875,P.A. Trento
2020-04-29,0.0035335021,1.0726330339,194.0125,Piemonte
2020-04-29,0.0007202462,1.0506101938,36.5875,Puglia
2020-04-29,0.0004603375,0.880787037,9.5125,Sardegna
2020-04-29,0.0004241946,0.9741144414,26.8125,Sicilia
2020-04-29,0.0015131851,0.8717672414,70.7875,Toscana
2020-04-29,0.0002936187,0.5986238532,3.2625,Umbria
2020-04-29,0.0010639723,0.2402135231,1.6875,Valle d'Aosta
2020-04-29,0.0017053389,0.8196865818,104.6125,Veneto
2020-04-30,0.0014482922,0.9287099903,23.9375,Abruzzo
2020-04-30,0.0003366265,0.7933884298,2.4,Basilicata
2020-04-30,0.0003765658,0.8937198068,9.25,Calabria
2020-04-30,0.0004749033,0.9185160649,34.6625,Campania
2020-04-30,0.0021495486,0.7072178672,119.5375,Emilia-Romagna
2020-04-30,0.0009606921,0.9831932773,14.625,Friuli Venezia Giulia
2020-04-30,0.000757529,1.0235967927,55.85,Lazio
2020-04-30,0.0022685646,1.0157322654,44.3875,Liguria
2020-04-30,0.0036143029,1.0469540579,452.6375,Lombardia
2020-04-30,0.0020870515,0.999377335,40.125,Marche
2020-04-30,0.0006120168,0.8920187793,2.375,Molise
2020-04-30,0.001604,0.5207792208,10.025,P.A. Bolzano
2020-04-30,0.0024339978,0.7102125454,17.125,P.A. Trento
2020-04-30,0.0035271277,1.0642989627,193.6625,Piemonte
2020-04-30,0.0007256598,1.0494661922,36.8625,Puglia
2020-04-30,0.000450054,0.8711943794,9.3,Sardegna
2020-04-30,0.0004265678,0.9760180995,26.9625,Sicilia
2020-04-30,0.0014920759,0.850182704,69.8,Toscana
2020-04-30,0.0002621194,0.5495283019,2.9125,Umbria
2020-04-30,0.0007014336,0.1624087591,1.1125,Valle d'Aosta
2020-04-30,0.0016601023,0.8097604612,101.8375,Veneto
2020-05-01,0.001445267,0.9245283019,23.8875,Abruzzo
2020-05-01,0.0003383798,0.787755102,2.4125,Basilicata
2020-05-01,0.0003699505,0.8876678877,9.0875,Calabria
2020-05-01,0.0004714781,0.9344874406,34.4125,Campania
2020-05-01,0.0021317912,0.7160978556,118.55,Emilia-Romagna
2020-05-01,0.0009155314,0.843419062,13.9375,Friuli Venezia Giulia
2020-05-01,0.000753799,1.0099954566,55.575,Lazio
2020-05-01,0.0022474824,1.0158821831,43.975,Liguria
2020-05-01,0.0036404538,1.0734298664,455.9125,Lombardia
2020-05-01,0.0020877017,0.9978247359,40.1375,Marche
2020-05-01,0.0006120168,0.8920187793,2.375,Molise
2020-05-01,0.001514,0.4928385417,9.4625,P.A. Bolzano
2020-05-01,0.0022971965,0.6773179675,16.1625,P.A. Trento
2020-05-01,0.0035428362,1.0507055567,194.525,Piemonte
2020-05-01,0.0007251676,1.0480085349,36.8375,Puglia
2020-05-01,0.000450054,0.8888888889,9.3,Sardegna
2020-05-01,0.0004293364,0.96104471,27.1375,Sicilia
2020-05-01,0.0014356955,0.8113862881,67.1625,Toscana
2020-05-01,0.0002294951,0.5012285012,2.55,Umbria
2020-05-01,0.0007250774,0.1762452107,1.15,Valle d'Aosta
2020-05-01,0.0015851154,0.7719559393,97.2375,Veneto
2020-05-02,0.0014210658,0.8913662239,23.4875,Abruzzo
2020-05-02,0.0003348733,0.8232758621,2.3875,Basilicata
2020-05-02,0.0003628262,0.868453106,8.9125,Calabria
2020-05-02,0.0004659977,0.90760507,34.0125,Campania
2020-05-02,0.002095602,0.712549679,116.5375,Emilia-Romagna
2020-05-02,0.0009106047,0.8478593272,13.8625,Friuli Venezia Giulia
2020-05-02,0.0007548163,0.9975352902,55.65,Lazio
2020-05-02,0.0022985906,1.0350978136,44.975,Liguria
2020-05-02,0.0036598173,1.0708194615,458.3375,Lombardia
2020-05-02,0.0020838006,0.9922600619,40.0625,Marche
2020-05-02,0.0005862477,0.887804878,2.275,Molise
2020-05-02,0.001406,0.4649470899,8.7875,P.A. Bolzano
2020-05-02,0.0022776534,0.6840981857,16.025,P.A. Trento
2020-05-02,0.0035785787,1.0394789049,196.4875,Piemonte
2020-05-02,0.0007268901,1.027835769,36.925,Puglia
2020-05-02,0.0004415852,0.8763505402,9.125,Sardegna
2020-05-02,0.0004323028,0.9558373415,27.325,Sicilia
2020-05-02,0.0014335579,0.8699529755,67.0625,Toscana
2020-05-02,0.0002204953,0.5283018868,2.45,Umbria
2020-05-02,0.0007723651,0.1956087824,1.225,Valle d'Aosta
2020-05-02,0.001514204,0.7437693925,92.8875,Veneto
2020-05-03,0.0014127466,0.8895238095,23.35,Abruzzo
2020-05-03,0.0003401331,0.8471615721,2.425,Basilicata
2020-05-03,0.0003572286,0.8529769137,8.775,Calabria
2020-05-03,0.000466854,0.9153794493,34.075,Campania
2020-05-03,0.0020331138,0.7041650448,113.0625,Emilia-Romagna
2020-05-03,0.0008925404,0.9577092511,13.5875,Friuli Venezia Giulia
2020-05-03,0.0007434567,0.9774855105,54.8125,Lazio
2020-05-03,0.0022685646,1.0245239469,44.3875,Liguria
2020-05-03,0.0036856687,1.0901307826,461.575,Lombardia
2020-05-03,0.0020792494,0.9900928793,39.975,Marche
2020-05-03,0.0005830265,0.9141414141,2.2625,Molise
2020-05-03,0.00133,0.4451137885,8.3125,P.A. Bolzano
2020-05-03,0.002215471,0.6664885088,15.5875,P.A. Trento
2020-05-03,0.0035601383,1.0320749736,195.475,Piemonte
2020-05-03,0.0007271362,1.0064713896,36.9375,Puglia
2020-05-03,0.0004167839,0.8433292534,8.6125,Sardegna
2020-05-03,0.0004356647,0.9574098218,27.5375,Sicilia
